Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
BT.Finance,Yield,BT,Ethereum,-,-58.83%,-0.27%,"$1,128,273",1128273,2021-05-23 07:18:36.617352
S Finance,Dexes,SFG,Ethereum,-,-19.07%,-0.08%,"$959,483",959483,2021-05-23 07:18:36.617352
Strudel Finance,Assets,TRDL,Ethereum,-,-22.67%,-0.61%,"$858,117",858117,2021-05-23 07:18:36.617352
FinNexus,Options,FNX,Multi-Chain,-,-93.87%,-0.05%,"$742,386",742386,2021-05-23 07:18:36.617352
PEAKDEFI,Yield,PEAK,Ethereum,-,-5.13%,-0.15%,"$667,666",667666,2021-05-23 07:18:36.617352
DeFiner,Yield,FIN,Ethereum,-,+80.34%,+1.00%,"$498,990",498990,2021-05-23 07:18:36.617352
Levinswap,Dexes,LEVIN,xDai,-,-38.54%,-0.79%,"$480,420",480420,2021-05-23 07:18:36.617352
Primitive,Options,-,Ethereum,-,-49.51%,-0.43%,"$457,255",457255,2021-05-23 07:18:36.617352
Basis Cash,Assets,BAC,Ethereum,-,"$404,974",0%,"$404,974",404974,2021-05-23 07:18:36.617352
Dracula,Yield,DRC,Ethereum,-,-29.42%,0%,"$389,247",389247,2021-05-23 07:18:36.617352
QIAN,Assets,KUN,Ethereum,-,-46.28%,+0.09%,"$310,267",310267,2021-05-23 07:18:36.617352
YetiSwap,Dexes,YTS,Avalanche,-,-50.42%,-0.72%,"$277,121",277121,2021-05-23 07:18:36.617352
UniTrade,Dexes,TRADE,Ethereum,-,-35.25%,+0.08%,"$238,645",238645,2021-05-23 07:18:36.617352
Shell Protocol,Dexes,-,Ethereum,-,+0.03%,0%,"$113,693",113693,2021-05-23 07:18:36.617352
SynLev,Protocols,SYN,Ethereum,-,-40.19%,-1.51%,"$83,524",83524,2021-05-23 07:18:36.617352
CoFiX,Dexes,COFI,Ethereum,-,-75.21%,-1.51%,"$75,581",75581,2021-05-23 07:18:36.617352
 Robo-Advisor fo...,Yield,-,Ethereum,-,-98.28%,-0.08%,"$22,108",22108,2021-05-23 07:18:36.617352
Prosper,Dexes,PROS,Multi-Chain,-5.42%,-35.12%,+1.67%,"$4,172",4172,2021-05-23 07:18:36.617352
