Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
CREAM Finance,Lending,CREAM,Ethereum,-0.33%,-2.68%,-0.34%,$318.39m,318390000,2021-05-14 07:18:54.983875
Index Coop,Indexes,INDEX,Ethereum,-2.44%,+17.49%,-0.42%,$315.31m,315310000,2021-05-14 07:18:54.983875
Kava,Lending,KAVA,Multi-Chain,-4.12%,-8.07%,+0.51%,$298.79m,298790000,2021-05-14 07:18:54.983875
dYdX,Dexes,-,Ethereum,-0.25%,+12.35%,-0.20%,$294m,294000000,2021-05-14 07:18:54.983875
Flamingo Finance,Dexes,FLM,NEO,-5.39%,-20.01%,+0.83%,$277.48m,277480000,2021-05-14 07:18:54.983875
Reflexer,Assets,RAI,Ethereum,-6.49%,-14.73%,-0.25%,$255.44m,255440000,2021-05-14 07:18:54.983875
Loopring,Dexes,LRC,Ethereum,-3.18%,+6.06%,-0.64%,$243.68m,243680000,2021-05-14 07:18:54.983875
StakeHound,Staking,-,Ethereum,-3.59%,+11.09%,-0.25%,$243.21m,243210000,2021-05-14 07:18:54.983875
B.Protocol,Lending,BPRO,Ethereum,-3.25%,-7.51%,+0.47%,$240.63m,240630000,2021-05-14 07:18:54.983875
Idle Finance,Yield,IDLE,Ethereum,+4.79%,+23.61%,-0.00%,$233.05m,233050000,2021-05-14 07:18:54.983875
PoolTogether,Protocols,POOL,Ethereum,+0.05%,+9.22%,+0.30%,$231.86m,231860000,2021-05-14 07:18:54.983875
UMA Protocol,Protocols,UMA,Ethereum,-2.35%,+1.65%,-0.57%,$207.55m,207550000,2021-05-14 07:18:54.983875
1inch,Dexes,1INCH,Ethereum,-23.08%,-46.62%,-1.44%,$195.41m,195410000,2021-05-14 07:18:54.983875
Sablier Finance,Protocols,-,Ethereum,-5.29%,-17.14%,+0.05%,$193.7m,193700000,2021-05-14 07:18:54.983875
ZilSwap,Dexes,ZWAP,Zilliqa,-1.45%,-19.97%,+0.78%,$174m,174000000,2021-05-14 07:18:54.983875
Ankr,Staking,ANKR,Ethereum,-3.35%,+11.71%,-0.25%,$170.32m,170320000,2021-05-14 07:18:54.983875
DODO,Dexes,DODO,Ethereum,-3.44%,+6.07%,-0.25%,$164.97m,164970000,2021-05-14 07:18:54.983875
yAxis,Yield,YAX,Ethereum,-1.92%,-22.34%,-0.39%,$156.9m,156900000,2021-05-14 07:18:54.983875
Unslashed,Insurance,USF,Ethereum,-2.66%,+11.61%,-0.27%,$154.27m,154270000,2021-05-14 07:18:54.983875
MANTRA DAO,Protocols,OM,Ethereum,-1.62%,-6.27%,-0.33%,$148.9m,148900000,2021-05-14 07:18:54.983875
OnX.Finance,Lending,ONX,Ethereum,-3.23%,-2.51%,-0.94%,$132.76m,132760000,2021-05-14 07:18:54.983875
Deus,Protocols,DEUS,Multi-Chain,+13.47%,+41.82%,+0.25%,$129.69m,129690000,2021-05-14 07:18:54.983875
Secret Network,Protocols,SCRT,Secret,-6.84%,-5.04%,+0.33%,$117.72m,117720000,2021-05-14 07:18:54.983875
Secret Bridge,Assets,-,Secret,-6.84%,-5.04%,+0.33%,$117.72m,117720000,2021-05-14 07:18:54.983875
Goose Finance,Yield,EGG,Binance,-3.22%,-7.78%,-0.11%,$108.89m,108890000,2021-05-14 07:18:54.983875
Hyper Finance,Yield,HYFI,Binance,+12.36%,+59.68%,+0.05%,$106.56m,106560000,2021-05-14 07:18:54.983875
TrueFi,Lending,TRU,Ethereum,-4.02%,+8.92%,-0.60%,$102.68m,102680000,2021-05-14 07:18:54.983875
StakeWise,Staking,SWISE,Ethereum,-3.50%,+13.62%,-0.25%,"$98,456,616",98456616,2021-05-14 07:18:54.983875
Flamincome,Yield,FLAG,Ethereum,-2.11%,-3.96%,+0.15%,"$97,042,906",97042906,2021-05-14 07:18:54.983875
Metronome,Assets,MET,Ethereum,-3.12%,+10.42%,+0.02%,"$93,172,848",93172848,2021-05-14 07:18:54.983875
Pickle,Yield,PICKLE,Ethereum,-2.67%,+5.02%,+0.06%,"$92,768,989",92768989,2021-05-14 07:18:54.983875
Rari Capital,Yield,RGT,Ethereum,+3.11%,+13.90%,+0.11%,"$89,949,301",89949301,2021-05-14 07:18:54.983875
BarnBridge,Yield,BOND,Ethereum,+0.20%,+15.28%,-0.19%,"$89,437,161",89437161,2021-05-14 07:18:54.983875
SpiritSwap,Dexes,SPIRIT,Fantom,-,-,+0.33%,"$89,066,632",89066632,2021-05-14 07:18:54.983875
SpookySwap,Dexes,BOO,Fantom,-,+50.34%,+6.67%,"$84,921,337",84921337,2021-05-14 07:18:54.983875
xDAI Stake,Protocols,STAKE,Ethereum,+0.04%,+4.74%,+0.98%,"$84,851,537",84851537,2021-05-14 07:18:54.983875
StakeDAO,Yield,SDT,Ethereum,-2.55%,-3.41%,-0.03%,"$83,511,775",83511775,2021-05-14 07:18:54.983875
Saddle Finance,Dexes,-,Ethereum,-2.60%,-4.38%,-0.66%,"$81,548,513",81548513,2021-05-14 07:18:54.983875
Hard Protocol,Protocols,HARD,Multi-Chain,+1.26%,+12.89%,+0.35%,"$80,820,347",80820347,2021-05-14 07:18:54.983875
mStable,Protocols,MTA,Ethereum,-0.49%,-7.80%,-0.04%,"$71,671,543",71671543,2021-05-14 07:18:54.983875
dForce,Lending,DF,Multi-Chain,-0.81%,-0.21%,-0.26%,"$71,468,000",71468000,2021-05-14 07:18:54.983875
BoringDAO,Protocols,BOR,Ethereum,-0.04%,-5.01%,+0.22%,"$71,189,330",71189330,2021-05-14 07:18:54.983875
imToken,Assets,imBTC,Ethereum,-30.91%,+8.84%,-0.41%,"$69,342,480",69342480,2021-05-14 07:18:54.983875
Defi Swap,Dexes,CRO,Ethereum,-3.52%,+0.15%,-0.51%,"$67,756,693",67756693,2021-05-14 07:18:54.983875
WanSwap Dex,Dexes,WASP,Wanchain,-2.75%,+11.88%,-0.36%,"$66,714,936",66714936,2021-05-14 07:18:54.983875
 Lightning Netwo...,Protocols,-,Bitcoin,-1.11%,-7.47%,+0.14%,"$64,817,263",64817263,2021-05-14 07:18:54.983875
Zookeeper,Yield,ZOO,Wanchain,-6.90%,+23.91%,-0.68%,"$63,495,211",63495211,2021-05-14 07:18:54.983875
Hegic,Options,HEGIC,Ethereum,-7.65%,-3.00%,-0.37%,"$62,526,596",62526596,2021-05-14 07:18:54.983875
SharedStake,Staking,SGT,Ethereum,-3.58%,+10.98%,-0.24%,"$60,901,678",60901678,2021-05-14 07:18:54.983875
BasketDAO,Indexes,BASK,Ethereum,-4.46%,-7.12%,-0.07%,"$60,889,679",60889679,2021-05-14 07:18:54.983875
FutureSwap,Dexes,-,Ethereum,-2.62%,+0.79%,+0.13%,"$60,857,665",60857665,2021-05-14 07:18:54.983875
ValueDefi,Yield,VALUE,Multi-Chain,-4.13%,-92.99%,-0.16%,"$59,272,317",59272317,2021-05-14 07:18:54.983875
Mimo Defi,Lending,MIMO,Ethereum,-0.42%,+9.19%,-0.16%,"$56,274,739",56274739,2021-05-14 07:18:54.983875
xToken,Yield,XTK,Ethereum,-13.86%,-43.03%,-0.55%,"$54,258,653",54258653,2021-05-14 07:18:54.983875
Orca,Dexes,-,Solana,-1.39%,-3.84%,+0.27%,"$52,777,073",52777073,2021-05-14 07:18:54.983875
Swipe,Dexes,SXP,Ethereum,-2.75%,-0.57%,+0.03%,"$49,928,190",49928190,2021-05-14 07:18:54.983875
Ruler,Lending,RULER,Ethereum,-2.01%,-,-0.06%,"$49,763,927",49763927,2021-05-14 07:18:54.983875
Kyber,Dexes,KNC,Ethereum,-2.77%,-27.97%,-0.27%,"$48,524,716",48524716,2021-05-14 07:18:54.983875
88mph,Yield,MPH,Ethereum,-1.96%,+8.47%,+0.36%,"$48,326,536",48326536,2021-05-14 07:18:54.983875
